Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,chiton,Aspidosaurus chiton,Broili,1904,Broili (1904),BSP,"84, 85",BSP 1931 X 3,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,crucifer,Aspidosaurus crucifer,Case,1903,Case (1903),FMNH,UC 1205,FMNH PR 1460,Holotype,USA,USA,Nomen dubium,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,glascocki,Aspidosaurus glascocki,Case,1910,Case (1910),AMNH,FARB 4864,AMNH FARB 4786,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,novomexicanus,Aspidosaurus novomexicanus,Williston,1911,Williston (1911),YPM,VP 000810,YPM VP 000810,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,peltatus,Aspidosaurus peltatus,Williston,1911,Williston (1911),FMNH,UC 668,FMNH UC 647,Holotype,USA,USA,Nomen dubium,"also as ""Broiliellus peltatus"""
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,N/A,Dissorophidae,Astreptorhachis,ohioensis,Astreptorhachis ohioensis,Vaughn,1971,Vaughn (1971),USNM,21861,USNM 21861,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhinesuchidae,Australerpetinae,Rhinesuchidae,Australerpeton,cosgriffi,Australerpeton cosgriffi,Barberena,1998,Barberena (1998),UFRGS,PV 0227-P,UFRGS PV 0227-P,Holotype,Brazil,Brazil,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,N/A,N/A,Brachyopoidea,Austropelor,wadleyi,Austropelor wadleyi,Longman,1941,Longman (1941),QM,F2628,QM F2628,Holotype,Australia,Australia,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Bageherpeton,longignathus,Bageherpeton longignathus,"Dias, Barberena",2001,"Dias, Barberena (2001)",UFRGS,PV 0317-P,UFRGS PV 0317-P,Holotype,Brazil,Brazil,Valid,
Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Balanerpeton,woodi,Balanerpeton woodi,"Milner, Sequeira",1994,"Milner, Sequeira (1994)",GLAHM,V2051,GLAHM BS4,Holotype,UK,UK,Valid,formerly SPW 2272 (Stan Wood collection)
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Banksiops,townrowi,Banksiops townrowi,Cosgriff,1974,Cosgriff (1974),UTGD,87785,UTGD 87785,Holotype,Australia,Australia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Bashkirosaurus,cherdyncevi,Bashkirosaurus cherdyncevi,Gubin,1981,Gubin (1981),PIN,164/70,PIN 164/70,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Bathignathus,poikilops,Bathignathus poikilops,"Damiani, Jeannot",2002,"Damiani, Jeannot (2002)",BP,1/5790,BP/1/5673,Holotype,South Africa,South Africa,Valid,
