Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Genus,Species,Taxon,Institution,Number,Specimen,Includes,Status,Geography,Assemblage.Zone,Group,Horizon,Formation,Epoch_lower,Epoch_upper,Site.name,Site.code,References,Notes
45,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Paracyclotosauridae,N/A,Paracyclotosauridae,Stanocephalosaurus,birdi,Stanocephalosaurus birdi,AMNH,FARB 3029,AMNH FARB 3029,nearly complete skull (counterpart),holotype,USA,N/A,N/A,N/A,Moenkopi Formation,Lower Triassic,Lower Triassic,south of Winslow,,Welles & Cosgriff (1965); Schoch & Milner (2000),"alleged to be a part/counterpart with UCMP 36058 (collected separately) by Schoch & Milner, this is in error; no corresponding part to the holotype has ever been found. The specimen referred by Welles & Cosgriff (UCMP 41391) is from a few miles from the type locality, and UCMP 36058 is the type of their ""Parotosaurus peabodyi"" from Meteor Crater, also a different locality"
46,Temnospondyli,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Temnospondyli,N/A,N/A,Temnospondyli indet.,AMNH,FARB 3097,AMNH FARB 3097,"neural spine(s), intercentrum/a",referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Carter et al. (2021),"referred to as 'Metoposaurus giganteus,' which is not a combination ever previously used for a temnospondyl; this may be a missattribution to Metoposaurus (Mastodonsaurus), an incorrect identification, or a typographic error (the following entry in Table S2 of Carter et al. lists a 'Mastodonsaurus diagnosticus,' another combination never used previously"
47,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4006,AMNH FARB 4006,pelvis,referred,USA,N/A,unknown,N/A,unknown,Cisuralian,Cisuralian,unknown,,Schoch & Milner (2014),holotype of 'Clepsydrops gigas'
48,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4175,AMNH FARB 4175,skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Lucas et al. (2005),no reason to presume this is not from the Permian Texas red beds
49,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4180,AMNH FARB 4180,"skull, scapulocoracoid",referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Lucas et al. (2005); Pawley & Warren (2006),
50,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4183,AMNH FARB 4183,"skull, scapulocoracoid, humerus, pelvis, femur, vertebral material",referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Sawin (1941); Moulton (1974); Pawley & Warren (2006),
51,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4184,AMNH FARB 4184,skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Lucas et al. (2005),no reason to presume this is not from the Permian Texas red beds
52,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4185,AMNH FARB 4185,skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Lucas et al. (2005),no reason to presume this is not from the Permian Texas red beds
53,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4186,AMNH FARB 4186,"skull, pectoral girdle, forelimb",referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Lucas et al. (2005); Pawley & Warren (2006),
54,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4189,AMNH FARB 4189,skull,holotype,USA,N/A,unknown,N/A,unknown,Cisuralian,Cisuralian,unknown,,Sawin (1941); Schoch & Milner (2014),
55,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4190,AMNH FARB 4190,skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Lucas et al. (2005),no reason to presume this is not from the Permian Texas red beds
56,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4198,AMNH FARB 4198,tibia,referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,Geraldine Quarry,,Pawley & Warren (2006),
57,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 4203,AMNH FARB 4203,"left radius, left femur, right tibia",referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Pawley & Warren (2006),
